"Market","Forecast","Timestamp"
"Oklahoma City vs Indiana Winner?","65.33%","2025-06-17T05:16:00.000Z"
"Oklahoma City vs Indiana Winner?","65.33%","2025-06-17T05:17:00.000Z"
"Oklahoma City vs Indiana Winner?","65.33%","2025-06-17T05:18:00.000Z"
"Oklahoma City vs Indiana Winner?","65.33%","2025-06-17T05:19:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T05:20:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T05:21:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T05:22:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T05:23:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T05:24:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T05:25:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T05:26:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T05:27:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T05:28:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T05:29:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T05:30:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T05:31:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T05:32:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T05:33:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T05:34:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T05:35:00.000Z"
"Oklahoma City vs Indiana Winner?","65.00%","2025-06-17T05:36:00.000Z"
"Oklahoma City vs Indiana Winner?","65.00%","2025-06-17T05:37:00.000Z"
"Oklahoma City vs Indiana Winner?","65.00%","2025-06-17T05:38:00.000Z"
"Oklahoma City vs Indiana Winner?","65.00%","2025-06-17T05:39:00.000Z"
"Oklahoma City vs Indiana Winner?","65.00%","2025-06-17T05:40:00.000Z"
"Oklahoma City vs Indiana Winner?","65.00%","2025-06-17T05:41:00.000Z"
"Oklahoma City vs Indiana Winner?","65.00%","2025-06-17T05:42:00.000Z"
"Oklahoma City vs Indiana Winner?","65.00%","2025-06-17T05:43:00.000Z"
"Oklahoma City vs Indiana Winner?","65.00%","2025-06-17T05:44:00.000Z"
"Oklahoma City vs Indiana Winner?","65.00%","2025-06-17T05:45:00.000Z"
"Oklahoma City vs Indiana Winner?","65.00%","2025-06-17T05:46:00.000Z"
"Oklahoma City vs Indiana Winner?","65.00%","2025-06-17T05:47:00.000Z"
"Oklahoma City vs Indiana Winner?","65.00%","2025-06-17T05:48:00.000Z"
"Oklahoma City vs Indiana Winner?","65.00%","2025-06-17T05:49:00.000Z"
"Oklahoma City vs Indiana Winner?","65.00%","2025-06-17T05:50:00.000Z"
"Oklahoma City vs Indiana Winner?","65.00%","2025-06-17T05:51:00.000Z"
"Oklahoma City vs Indiana Winner?","65.00%","2025-06-17T05:52:00.000Z"
"Oklahoma City vs Indiana Winner?","65.00%","2025-06-17T05:53:00.000Z"
"Oklahoma City vs Indiana Winner?","65.82%","2025-06-17T05:54:00.000Z"
"Oklahoma City vs Indiana Winner?","65.82%","2025-06-17T05:55:00.000Z"
"Oklahoma City vs Indiana Winner?","65.82%","2025-06-17T05:56:00.000Z"
"Oklahoma City vs Indiana Winner?","65.82%","2025-06-17T05:57:00.000Z"
"Oklahoma City vs Indiana Winner?","65.82%","2025-06-17T05:58:00.000Z"
"Oklahoma City vs Indiana Winner?","65.82%","2025-06-17T05:59:00.000Z"
"Oklahoma City vs Indiana Winner?","65.98%","2025-06-17T06:00:00.000Z"
"Oklahoma City vs Indiana Winner?","65.98%","2025-06-17T06:01:00.000Z"
"Oklahoma City vs Indiana Winner?","65.98%","2025-06-17T06:02:00.000Z"
"Oklahoma City vs Indiana Winner?","65.98%","2025-06-17T06:03:00.000Z"
"Oklahoma City vs Indiana Winner?","65.98%","2025-06-17T06:04:00.000Z"
"Oklahoma City vs Indiana Winner?","65.98%","2025-06-17T06:05:00.000Z"
"Oklahoma City vs Indiana Winner?","65.98%","2025-06-17T06:06:00.000Z"
"Oklahoma City vs Indiana Winner?","65.98%","2025-06-17T06:07:00.000Z"
"Oklahoma City vs Indiana Winner?","65.98%","2025-06-17T06:08:00.000Z"
"Oklahoma City vs Indiana Winner?","65.98%","2025-06-17T06:09:00.000Z"
"Oklahoma City vs Indiana Winner?","65.00%","2025-06-17T06:10:00.000Z"
"Oklahoma City vs Indiana Winner?","65.00%","2025-06-17T06:11:00.000Z"
"Oklahoma City vs Indiana Winner?","65.00%","2025-06-17T06:12:00.000Z"
"Oklahoma City vs Indiana Winner?","65.00%","2025-06-17T06:13:00.000Z"
"Oklahoma City vs Indiana Winner?","65.00%","2025-06-17T06:14:00.000Z"
"Oklahoma City vs Indiana Winner?","65.00%","2025-06-17T06:15:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T06:16:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T06:17:00.000Z"
"Oklahoma City vs Indiana Winner?","66.00%","2025-06-17T06:18:00.000Z"
